[run number],number-of-voters,vote-portion-strategic,proportion-of-strategic-voters,minority-power,y-axis,x-axis,QV?,number-of-issues,issue-num,poll-response-rate,utility-distribution,[step],maximal-utility?,total-payoff-per-issue,mean-utilities,median-utilities,mean-median-same-sign-list
2,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.38260903356906784 0.57051371214885],[-0.034782639415369805 0.05186488292262273],[-0.03866838411039703 0.1071790739134747],[1 1]
1,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[0.89846500653175 -0.17768974625722747],[0.08167863695743181 -0.01615361329611159],[0.08430575939727707 0.012278881312007271],[1 0]
3,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.5294696625730206 0.7580702383000871],[0.04813360568845642 0.06891547620909882],[0.04551447604860439 0.009164431500741988],[1 1]
4,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.6730666159682124 0.713524768443586],[-0.061187874178928396 0.06486588804032602],[-0.007414892416142205 0.046330088607702664],[1 1]
5,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.9547211084567827 0.18977323262697826],[-0.0867928280415257 -0.01725211205699802],[-0.05506036899945658 -0.006700943715866362],[1 1]
6,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.07995954439423715 0.011058115338714675],[-0.007269049490385196 0.0010052832126104174],[-0.0209787093203964 0.021568073289097454],[1 1]
7,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[0.3096355910154832 -0.13664403146926446],[0.028148690092316655 0.012422184679024041],[0.03985296090293755 -0.0051122255857962125],[1 0]
9,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.14026672113136684 0.22523474225862763],[0.012751520102851532 0.020475885659875237],[0.06612885033865522 0.03726902814586059],[1 1]
10,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[-0.12633236756513383 0.21431240726732448],[0.011484760687739438 -0.019482946115211317],[-0.03617895222572489 -6.045407446569769E-4],[0 1]
11,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[1.0538764802790086 0.7491886243526993],[0.09580695275263715 0.0681080567593363],[0.07775575373119414 0.022032805516007864],[1 1]
8,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.22150969276124832 0.8674521749652049],[-0.02013724479647712 -0.07885928863320045],[-0.11930821009252959 -0.16444789859504766],[1 1]
12,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[-0.6128609269448951 -0.49527493341290973],[0.055714629722263195 0.04502499394662816],[-0.066374670106197 -0.022153545513223176],[0 0]
13,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.36126183781558824 0.0011253118216889985],[0.03284198525596257 1.0230107469900491E-4],[0.03967342017391445 0.043254323998510744],[1 1]
14,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.36243270613127493 0.47426604367101666],[0.0329484278301159 -0.04311509487918333],[0.082300224282087 -0.0018602138183528806],[1 1]
16,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.17807383275638755 0.8497276240669941],[-0.016188530250580688 -0.07724796582427218],[-0.01860260019611026 -0.10134250786656158],[1 1]
17,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.6501224704215162 0.5687123609917926],[0.05910204276559238 -0.051701123726526584],[0.12312235201818178 -0.03791672689576209],[1 1]
18,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.09531170615839274 0.5282785764130415],[-0.008664700559853885 0.04802532512845832],[-0.0669741911216906 0.03263514672244159],[1 1]
19,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.7557664199490797 1.2243847171168665],[-0.06870603817718907 -0.11130770155607873],[-0.07044878706402652 -0.11006180732500002],[1 1]
20,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[0.1253748334354014 -0.06724626377359083],[0.011397712130491037 0.00611329670669008],[0.020900089204333845 -0.033748275479957866],[1 0]
15,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.08601063434876621 0.5040506854732951],[-0.007819148577160566 -0.04582278958848138],[-0.04451875856687013 -0.07128178533914906],[1 1]
21,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[-0.05672297048600555 1.0315459521669212],[-0.00515663368054596 0.09377690474244739],[0.1010344655159769 0.019586880541095586],[0 1]
23,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.3770863391495893 0.47825861572069395],[0.034280576286326296 -0.04347805597460854],[0.08369164201568807 -0.042709314330070795],[1 1]
24,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[-0.0495635157703124 0.21050494316470308],[-0.0045057741609374905 0.019136813014973005],[0.010809566550522988 0.05635703638388398],[0 1]
25,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.3223491593705738 0.07139255202684003],[-0.029304469033688527 -0.0064902320024400086],[-0.08327601197119791 -0.055357211504079774],[1 1]
26,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.7993648757985105 0.9915210484739015],[0.07266953416350096 -0.09013827713399106],[0.06295048980907841 -0.13326262250532525],[1 1]
27,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.7536530437811544 0.15373654875869702],[0.06851391307101404 -0.013976049887154259],[0.09801743486289435 -0.01542805421332775],[1 1]
28,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[-0.16179440432572312 1.0113830125433336],[-0.014708582211429374 0.09194391023121215],[0.025823830747418754 0.08163617221676969],[0 1]
29,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[0.8866308415060199 -0.03319496585179825],[0.08060280377327454 -0.0030177241683452915],[0.03271877117538681 0.01566750813340408],[1 0]
30,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[0.4110255017306504 -0.06698643454153946],[0.0373659547027864 0.006089675867412671],[0.03498488091384674 -0.015014077494439887],[1 0]
31,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,FALSE,[-0.027291148491923378 0.1631211678465411],[-0.0024810134992657618 0.014829197076958279],[0.002227222500424503 0.06146109996712123],[0 1]
22,11,0,1,0,1,0,FALSE,2,0,1,Normal mean = 0,1,TRUE,[0.4920728581590056 0.45727649423034433],[0.044733896196273236 -0.04157059038457674],[0.03980851076938746 -0.02485723000847373],[1 1]
