[run number],number-of-voters,minority-fraction,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,calibration,marginal-pivotality,variance-of-perceived-pivotality,mpp-divided,limit-votes?,payoff-include-votes-cost?,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
1,11,0,0,1,10,1,1. prop8-mean>0,0.5,0,1,FALSE,FALSE,1p1v,1000,0.767,1.311924566,3.835211426,-0.596,3.183538742,0.767
2,11,0,0,1,10,1,1. prop8-mean>0,0.5,0,1,FALSE,FALSE,QV,1000,1,2.730268148,3.698101944,0.687033915,2.193617538,0.78
3,11,0,0,1,10,1,1. prop8-mean>0,0.5,0,10,FALSE,FALSE,1p1v,1000,0.76,1.36975042,3.904400644,-0.51,3.311626016,0.76
4,11,0,0,1,10,1,1. prop8-mean>0,0.5,0,10,FALSE,FALSE,QV,1000,1,2.632308745,3.284762336,0.06423687,0.200458515,0.776
5,11,0,0,1,10,1,1. prop8-mean>0,0.5,0,100,FALSE,FALSE,1p1v,1000,0.795,1.640109402,4.08139084,-0.56,3.293819857,0.795
6,11,0,0,1,10,1,1. prop8-mean>0,0.5,0,100,FALSE,FALSE,QV,1000,1,2.627772966,3.344965536,0.00593314,0.020427556,0.769
7,11,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,1,FALSE,FALSE,1p1v,1000,0.784,1.55280687,3.693560158,-0.342,3.345179551,0.784
8,11,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,1,FALSE,FALSE,QV,1000,0.992,2.519497084,3.18981897,0.574382136,1.949855313,0.794
9,11,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,10,FALSE,FALSE,1p1v,1000,0.766,1.620003243,3.862817462,-0.442,3.233433329,0.766
11,11,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,100,FALSE,FALSE,1p1v,1000,0.791,1.565153684,4.150071869,-0.546,3.336017538,0.791
10,11,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,10,FALSE,FALSE,QV,1000,0.996,2.642284757,3.329813428,0.0639356,0.202127182,0.785
13,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,1,FALSE,FALSE,1p1v,1000,0.805,1.501197443,3.654311515,-0.474,3.466892462,0.805
12,11,0,0,1,10,1,1. prop8-mean>0,0.5,3.00E-04,100,FALSE,FALSE,QV,1000,0.99,2.729631392,3.613072507,0.0068722,0.021683005,0.793
14,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,1,FALSE,FALSE,QV,1000,0.982,2.604857408,3.421870933,0.616826291,2.066803276,0.798
15,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,10,FALSE,FALSE,1p1v,1000,0.782,1.526903776,4.193149628,-0.44,3.242362243,0.782
17,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,100,FALSE,FALSE,1p1v,1000,0.732,1.23553842,4.101978411,-0.446,3.278388603,0.732
16,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,10,FALSE,FALSE,QV,1000,0.982,2.617781097,3.307678178,0.056630571,0.204741639,0.782
19,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,1,FALSE,FALSE,1p1v,1000,0.788,1.610129297,4.177941242,-0.576,3.280088868,0.788
18,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.001,100,FALSE,FALSE,QV,1000,0.988,2.622013778,3.5446735,0.006177596,0.021008884,0.77
21,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,10,FALSE,FALSE,1p1v,1000,0.78,1.704269554,3.780570088,-0.414,3.310523156,0.78
20,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,1,FALSE,FALSE,QV,1000,0.952,2.453546103,2.941671879,0.560459223,1.84781442,0.774
23,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,100,FALSE,FALSE,1p1v,1000,0.781,1.461243713,3.807800575,-0.35,3.363452514,0.781
22,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,10,FALSE,FALSE,QV,1000,0.936,2.48432539,3.217272291,0.053517962,0.1997189,0.767
25,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,1,FALSE,FALSE,1p1v,1000,0.789,1.578098685,4.272792077,-0.368,3.404139269,0.789
24,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.01,100,FALSE,FALSE,QV,1000,0.948,2.657481418,3.5516878,0.00668633,0.021802134,0.8
27,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,10,FALSE,FALSE,1p1v,1000,0.769,1.474103141,4.302716349,-0.526,3.294567981,0.769
26,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,1,FALSE,FALSE,QV,1000,0.923,2.555417666,3.328107561,0.568228149,2.059479875,0.792
28,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,10,FALSE,FALSE,QV,1000,0.932,2.770340744,3.742809055,0.074949366,0.233376855,0.791
29,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,100,FALSE,FALSE,1p1v,1000,0.758,1.3601714,4.524885823,-0.616,3.409423436,0.758
30,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.02,100,FALSE,FALSE,QV,1000,0.927,2.662330073,3.63232631,0.00650536,0.02314187,0.784
31,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,1,FALSE,FALSE,1p1v,1000,0.785,1.44348204,3.979599885,-0.388,3.365231163,0.785
33,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,10,FALSE,FALSE,1p1v,1000,0.781,1.53450801,3.757741398,-0.422,3.353977514,0.781
