u,v
-0.286298783,-1
0.557769107,1
-5.613667539,-1
2.219653239,1
4.282427302,1
0.902175018,1
1.495852504,1
-0.898681147,-1
1.65224391,1
2.013162581,1
2.21316996,1
-0.747581042,-1
3.032344866,1
5.313680341,1
0.587504736,1
-1.739676318,-1
-0.829506888,-1
-1.654642756,-1
-3.459594617,-1
-1.63980376,-1
4.305308386,1
3.197913028,1
-0.27489968,-1
-0.385484157,-1
-3.469680977,-1
2.329013732,1
2.259761388,1
2.918084157,1
0.991528584,1
2.960120452,1
2.847662611,1
8.560074842,1
2.591451965,1
-0.34496849,-1
0.58122528,1
3.889839251,1
-0.629837973,-1
-0.893195598,-1
-1.256494406,-1
0.630261402,1
1.286481672,1
0.922021895,1
-0.314190678,-1
1.452758045,1
-2.272859818,-1
-1.555871686,-1
4.174539869,1
3.310082969,1
1.058235648,1
3.416583841,1
-5.824750314,-1
-2.2232418,-1
3.496879754,1
3.605577418,1
2.04417039,1
-4.049157145,-1
0.268523488,1
2.399021856,1
-1.640904817,-1
-3.721934573,-1
1.101835052,1
5.321073406,1
-1.137516038,-1
2.464248614,1
0.05503334,1
0.793741609,1
1.496176901,1
2.048762774,1
-0.189459242,-1
-1.978376979,-1
0.055345779,1
1.582182744,1
1.803362669,1
-4.158366642,-1
-3.171106245,-1
-1.732529645,-1
-4.877505402,-1
1.310948478,1
1.668655758,1
-3.651926837,-1
1.825870957,1
-2.338876163,-1
0.385880314,1
-0.532124281,-1
-5.961847522,-1
7.620029101,1
0.8184599,1
1.691196297,1
-1.496153305,-1
1.410555745,1
-0.529062865,-1
1.811191166,1
0.472633439,1
-4.234298981,-1
1.798025708,1
-0.264518162,-1
-1.928876257,-1
2.837535166,1
2.265601644,1
2.741714439,1
-2.833042217,-1
1.45237741,1
2.73945019,1
2.875035011,1
-7.209739177,-1
4.761997633,1
-1.108057755,-1
4.284031748,1
0.719718758,1
-0.216829687,-1
0.188902364,1
0.303129179,1
-4.891581976,-1
0.119158981,1
-6.005907947,-1
-0.262538761,-1
1.734596978,1
-2.124615243,-1
-4.367718841,-1
-0.69100425,-1
-1.998370096,-1
0.303746422,1
-2.686788497,-1
5.497394136,1
-2.072208278,-1
3.380476954,1
-4.332118948,-1
-0.972514335,-1
-3.814396767,-1
-0.635395721,-1
1.306162531,1
-2.280320045,-1
-0.835528197,-1
-1.43722581,-1
-1.449500923,-1
0.361200461,1
0.771608968,1
-0.233976495,-1
3.253292788,1
-1.692526302,-1
0.595504516,1
-3.062707513,-1
3.711589682,1
-1.154259094,-1
4.556566824,1
-0.254552033,-1
-1.894396228,-1
-1.846607476,-1
-1.601462739,-1
-2.770152166,-1
6.296369755,1
-0.133654809,-1
1.323998065,1
-5.208836231,-1
0.523431815,1
-2.924601157,-1
6.005873276,1
-0.216418785,-1
4.35314757,1
-1.53384801,-1
3.005492648,1
4.231898259,1
-1.096247827,-1
1.770954071,1
3.758602543,1
0.408348245,1
-2.574000778,-1
-0.323867782,-1
-7.387117946,-1
-4.436644178,-1
1.495056888,1
4.395918821,1
-0.617093756,-1
-1.263021802,-1
8.396447318,1
-5.795220092,-1
-4.216583621,-1
1.24579717,1
-1.627400651,-1
1.755990145,1
-5.151611623,-1
-2.448877857,-1
-0.738904979,-1
-3.873821798,-1
-2.267750404,-1
0.712536809,1
4.272689454,1
0.901781685,1
-2.085787574,-1
-4.230695234,-1
5.010779353,1
-2.047514824,-1
1.087171006,1
-3.579520892,-1
1.404516267,1
-4.675690054,-1
-1.53110876,-1
1.360972607,1
0.566167877,1
3.559620345,1
1.247686283,1
-1.257880216,-1
2.821242601,1
-1.645904741,-1
-4.887705193,-1
-0.774064459,-1
-0.691834051,-1
3.536248665,1
2.380597898,1
1.107886869,1
-2.575035333,-1
2.303368619,1
-4.183006694,-1
3.091037422,1
-5.623477325,-1
-5.370014908,-1
4.177039025,1
0.719544543,1
-2.875757201,-1
1.326754017,1
-4.132588635,-1
-0.31406846,-1
-2.750780348,-1
0.158610807,1
-3.550780614,-1
2.747812675,1
4.5932137,1
5.190247167,1
-6.812261185,-1
-0.539317005,-1
-1.522599284,-1
-2.228990425,-1
1.784700294,1
-0.289768722,-1
-6.209884519,-1
1.291428786,1
-8.186860329,-1
-2.659151593,-1
-0.073156336,-1
-1.612581583,-1
-5.414074143,-1
-0.00798659,-1
1.554997522,1
3.390187578,1
-8.832121887,-1
-4.036993051,-1
0.672216938,1
1.992005482,1
0.555030389,1
-0.563526906,-1
-3.563267538,-1
1.091931806,1
0.465750276,1
4.014079418,1
-8.190665622,-1
0.812248743,1
3.342617044,1
-2.038004603,-1
-4.289360471,-1
-5.037675445,-1
-2.789966216,-1
3.150810258,1
-1.077282418,-1
1.856223413,1
-0.724604736,-1
-0.660668267,-1
3.493724814,1
1.123034014,1
-1.366313827,-1
-0.572051168,-1
-0.087060836,-1
2.825025498,1
-0.952925436,-1
-3.654859986,-1
0.8678733,1
-0.020227164,-1
1.286796147,1
1.306213323,1
-2.938736542,-1
-2.347173771,-1
-3.082617344,-1
0.74516394,1
-1.788276997,-1
2.967338497,1
-0.423056987,-1
-0.347554994,-1
-0.661954291,-1
-0.932441588,-1
-0.681656569,-1
7.266399461,1
-1.202129385,-1
-3.044803707,-1
-1.477031929,-1
4.30698202,1
2.526026873,1
2.005249909,1
5.612411433,1
-1.053179683,-1
-0.489343803,-1
-0.694674719,-1
0.071644857,1
1.892234735,1
0.488560375,1
-6.961613897,-1
-2.774146201,-1
2.04541434,1
0.093018047,1
0.355315531,1
2.479410736,1
1.222209134,1
-1.232046463,-1
-7.162390202,-1
-1.466154973,-1
1.910625437,1
0.264107336,1
-0.54784759,-1
-2.573578881,-1
2.313857901,1
4.65125042,1
-4.235027262,-1
-1.411975237,-1
-2.789594399,-1
-2.11084698,-1
-2.329636834,-1
-5.968836804,-1
0.610574187,1
1.827096825,1
-0.580319511,-1
-3.696344829,-1
1.704182909,1
-3.461571442,-1
-1.266669446,-1
0.678421495,1
-2.960196364,-1
2.227268764,1
-4.65377555,-1
-2.799562098,-1
-1.819610511,-1
0.727146048,1
-1.485571346,-1
0.683324963,1
-2.180336305,-1
0.016617905,1
1.674172273,1
-3.603027194,-1
1.197366153,1
0.784499577,1
-6.270127392,-1
1.76450346,1
2.138249272,1
0.490127088,1
4.330531286,1
-1.988855267,-1
4.915315553,1
3.435973629,1
-1.598406918,-1
2.960467923,1
-0.209829776,-1
1.336720225,1
0.779131719,1
0.670798009,1
-2.234224137,-1
2.731253551,1
0.896047172,1
0.633922219,1
1.652668609,1
-3.875018838,-1
4.518552227,1
-0.597184824,-1
-1.407121223,-1
-2.71432901,-1
2.066532314,1
4.373220058,1
0.809380435,1
-0.738262889,-1
-2.045334451,-1
-3.304250327,-1
1.083394297,1
-0.281519612,-1
-1.895966402,-1
0.398125617,1
-5.004976482,-1
-0.813350709,-1
-2.009889083,-1
0.563039146,1
-2.596717182,-1
-3.342322905,-1
-3.371731717,-1
0.175340116,1
2.114318941,1
7.474734401,1
-2.949048871,-1
1.785840025,1
-4.805178502,-1
3.160346352,1
-5.546052188,-1
3.430397836,1
-3.238912597,-1
1.172587267,1
3.070527016,1
-0.164062763,-1
-0.332072186,-1
0.082435606,1
5.001258881,1
1.044456734,1
-0.191026117,-1
-4.114996435,-1
1.249807585,1
2.421553873,1
4.874489438,1
1.09288365,1
-3.018540119,-1
1.468569394,1
-0.837189224,-1
2.109843875,1
-1.297096462,-1
-0.067692542,-1
0.948415052,1
-2.212383971,-1
-4.446485888,-1
-2.566815127,-1
-1.872966359,-1
0.250825605,1
-0.898798313,-1
0.69018053,1
-1.827768035,-1
-0.830890609,-1
3.059798491,1
-1.493783245,-1
-1.019127483,-1
-0.141544663,-1
0.08002622,1
6.364652946,1
1.328670589,1
-4.670480004,-1
-1.684084641,-1
1.987320474,1
0.809572907,1
-0.779563991,-1
-1.255713245,-1
5.506896331,1
-4.713687764,-1
-0.48984335,-1
-3.938707375,-1
-2.464889009,-1
1.819821865,1
5.926748736,1
-3.194859371,-1
-0.129076102,-1
2.259093755,1
-3.482484931,-1
0.559259102,1
3.483792299,1
-5.601474494,-1
-0.451830166,-1
-4.083296247,-1
-1.582026395,-1
3.056713765,1
-3.727973576,-1
3.998966309,1
-1.416253723,-1
2.450317059,1
-4.137155745,-1
-1.709042548,-1
1.933694498,1
-0.443588452,-1
-1.217407292,-1
-0.79663564,-1
-0.519611512,-1
2.041793964,1
-3.229858101,-1
-2.422493383,-1
2.044157871,1
-6.070729875,-1
5.338111511,1
-1.926696742,-1
0.480062295,1
0.583373847,1
-0.989125602,-1
1.780074475,1
3.989073797,1
-3.323273372,-1
1.429396155,1
0.651798289,1
-0.549772703,-1
-0.479599086,-1
-2.979091761,-1
4.088298283,1
1.470977239,1
-2.046810115,-1
0.400203641,1
-1.186367402,-1
4.873967849,1
0.991630581,1
-5.814119951,-1
0.197634647,1
0.895317388,1
-1.572134439,-1
-1.979882217,-1
-0.972253023,-1
-4.422428558,-1
-4.145506233,-1
-4.978579784,-1
1.383337136,1
0.019167937,1
0.966537778,1
0.773263113,1
-2.846792198,-1
3.287471359,1
-2.458290598,-1
1.916375422,1
-0.616978578,-1
1.006603489,1
1.316598337,1
-0.025378188,-1
4.858334237,1
-1.082323932,-1
-4.887600374,-1
3.662917247,1
0.615394507,1
0.723825116,1
0.978412111,1
-5.932775158,-1
1.266519528,1
-2.080291746,-1
-1.646729364,-1
-0.97589305,-1
-0.530576074,-1
0.194135419,1
-1.849564308,-1
0.593773382,1
2.519159864,1
4.719528968,1
0.831173033,1
-1.990987778,-1
3.400843083,1
0.847702512,1
3.944171046,1
-3.826615739,-1
-4.434929648,-1
-0.181797794,-1
-1.482129109,-1
-4.52748044,-1
3.094952412,1
-2.839231752,-1
0.485676717,1
-0.236336964,-1
-5.147094797,-1
1.729171165,1
-0.350534455,-1
-4.327526107,-1
-10.56505235,-1
-4.942376213,-1
-3.469265533,-1
-6.228461426,-1
-4.686406982,-1
-2.797902382,-1
-2.252001886,-1
-0.179461166,-1
1.530934662,1
-3.55904027,-1
-0.314323426,-1
-3.388273297,-1
-0.009223367,-1
4.64272499,1
1.318577641,1
1.067411182,1
3.539905618,1
1.251186717,1
4.257355184,1
-4.096549621,-1
-1.66123231,-1
-1.656434432,-1
5.160639051,1
-3.571433265,-1
1.925027316,1
-1.229486326,-1
0.340199793,1
4.573352996,1
-0.296169065,-1
2.681222763,1
-4.100365867,-1
3.299950547,1
0.193752886,1
-0.117362436,-1
3.112696954,1
6.659268641,1
1.550666516,1
0.701036752,1
3.243340845,1
-3.114685319,-1
3.400108719,1
-1.258888133,-1
-4.228890727,-1
-3.486577585,-1
-1.895110879,-1
-0.66360311,-1
0.998826852,1
-1.613978291,-1
-0.676048717,-1
-1.198796543,-1
-2.544508346,-1
-2.278081783,-1
2.192081289,1
-2.051197145,-1
-1.592230524,-1
4.391069019,1
0.53468788,1
-0.511345179,-1
0.291894182,1
2.355791636,1
7.541526527,1
0.509631804,1
2.581686503,1
0.984075749,1
0.984274365,1
1.182619521,1
0.151601668,1
-4.100600313,-1
4.835005686,1
-3.044409684,-1
2.730389214,1
-3.040401699,-1
-0.082841093,-1
-0.745669794,-1
1.251491085,1
0.078139273,1
0.564263348,1
-3.16260034,-1
4.046993404,1
-0.016682384,-1
4.869995218,1
-2.16649302,-1
3.456758234,1
5.380411163,1
-4.291960717,-1
3.133484519,1
-1.282620747,-1
-1.416575183,-1
-5.940513359,-1
-3.800065755,-1
-1.768581183,-1
-7.077299195,-1
3.618453156,1
0.105131603,1
-3.995959768,-1
0.236574615,1
-4.927274395,-1
0.784913152,1
0.708540136,1
4.374992764,1
6.128663907,1
0.308646296,1
0.103970548,1
3.461040319,1
-1.252919277,-1
9.040797716,1
0.349385476,1
-7.0294986,-1
-0.621354802,-1
1.546135978,1
1.874640263,1
3.613253061,1
-0.644171452,-1
1.687035117,1
-2.792828507,-1
4.306524194,1
2.066849183,1
-5.072307365,-1
1.101800013,1
3.204036602,1
-0.262782704,-1
-1.196043804,-1
0.512524605,1
-0.666511526,-1
-0.252986143,-1
1.398012162,1
1.160737663,1
0.544766774,1
8.657194433,1
-3.403909581,-1
-2.161958736,-1
-3.265060636,-1
-0.04676068,-1
0.249255294,1
-1.395803363,-1
-1.275008517,-1
1.729147973,1
-1.529567818,-1
-1.248098197,-1
-3.0956677,-1
0.357019207,1
-2.013764034,-1
-0.133857358,-1
-1.143295747,-1
-1.119446208,-1
-0.692267569,-1
5.733942728,1
-0.870289981,-1
1.133438537,1
2.280545835,1
3.979744307,1
-0.325272507,-1
1.611851716,1
-4.136358695,-1
-0.532812133,-1
-1.164096272,-1
-2.183245425,-1
-4.250011447,-1
-4.267976475,-1
-2.366128091,-1
-0.312955019,-1
2.253676763,1
-0.237201575,-1
-2.399686232,-1
-1.367030193,-1
0.698484418,1
-3.037824135,-1
0.437986572,1
1.292674735,1
-1.061879936,-1
-5.548204757,-1
0.6433443,1
2.698049316,1
