u,v
0.812248743,0.406124372
-0.113298018,-0.056649009
-0.737977953,-0.368988977
-0.252986143,-0.126493072
2.704279894,1.352139947
-0.385484157,-0.192742078
0.593773382,0.296886691
-3.171106245,-1.585553123
-1.618075921,-0.80903796
-3.342322905,-1.671161453
1.067411182,0.533705591
-1.776697991,-0.888348995
-0.356780442,-0.178390221
-3.651926837,-1.825963419
0.564263348,0.282131674
-0.644239448,-0.322119724
2.110238022,1.055119011
-0.469739998,-0.234869999
-1.768581183,-0.884290592
-5.784732018,-2.892366009
-2.053804651,-1.026902326
0.439906865,0.219953432
2.416429025,1.208214513
-3.797308736,-1.898654368
4.4142052,2.2071026
-0.519611512,-0.259805756
-1.956445673,-0.978222837
-0.661954291,-0.330977145
3.8687905,1.93439525
1.470977239,0.735488619
-1.714147944,-0.857073972
-5.151611623,-2.575805811
-5.779881249,-2.889940624
-0.133857358,-0.066928679
-1.714974302,-0.857487151
-0.730446991,-0.365223496
-6.005907947,-3.002953973
4.858334237,2.429167119
1.933694498,0.966847249
0.551403992,0.275701996
1.827096825,0.913548412
4.915315553,2.457657777
0.961972295,0.480986148
-1.570297533,-0.785148767
0.105131603,0.052565801
-2.792828507,-1.396414253
3.613253061,1.806626531
-0.511345179,-0.25567259
-4.327526107,-2.163763054
3.380476954,1.690238477
1.306162531,0.653081266
-1.632997021,-0.816498511
-2.165025558,-1.082512779
-1.248098197,-0.624049098
2.053229376,1.026614688
1.729147973,0.864573987
0.008869662,0.004434831
-0.549772703,-0.274886352
-5.675994395,-2.837997197
-0.401887739,-0.20094387
1.874640263,0.937320132
-0.913617317,-0.456808658
3.839489661,1.91974483
7.541526527,3.770763263
-0.644171452,-0.322085726
-0.42164986,-0.21082493
-2.2232418,-1.1116209
0.616794685,0.308397342
4.44676099,2.223380495
1.782831095,0.891415548
8.560074842,4.280037421
1.468569394,0.734284697
1.819821865,0.909910933
-1.238737136,-0.619368568
-1.982339621,-0.991169811
-6.961613897,-3.480806949
3.47627234,1.73813617
-1.805055886,-0.902527943
-0.04676068,-0.02338034
-0.660668267,-0.330334134
-0.314190678,-0.157095339
-0.79663564,-0.39831782
-0.48984335,-0.244921675
2.330598201,1.1652991
-3.344606483,-1.672303241
-0.00798659,-0.003993295
2.379425394,1.189712697
-0.298985121,-0.149492561
7.103387761,3.551693881
3.151063709,1.575531854
-3.274768764,-1.637384382
2.453305438,1.226652719
1.325850576,0.662925288
-1.693267261,-0.846633631
-5.068052112,-2.534026056
-1.422768366,-0.711384183
1.798025708,0.899012854
4.235785814,2.117892907
-0.283449986,-0.141724993
-3.050111085,-1.525055542
-1.788276997,-0.894138499
-2.272859818,-1.136429909
3.055891919,1.527945959
0.188902364,0.094451182
3.654424844,1.827212422
3.483792299,1.741896149
-2.252990283,-1.126495142
-3.680209175,-1.840104588
0.698484418,0.349242209
1.310948478,0.655474239
-1.595908721,-0.79795436
-1.170924448,-0.585462224
3.537721103,1.768860551
2.421623627,1.210811813
-2.949048871,-1.474524435
-4.675690054,-2.337845027
-3.240473842,-1.620236921
-0.72698848,-0.36349424
0.58122528,0.29061264
-1.31573169,-0.657865845
3.711589682,1.855794841
