u,v
-0.401598228,-3.418408495
1.499525036,3.465199161
1.674723718,0.478919042
0.430320252,4.830070186
0.693967829,3.879049077
1.208857508,0.275873427
0.513711549,3.86960028
0.804172042,2.150732353
-1.40455954,-1.725006419
-1.455207156,-2.586359881
-0.699560243,-1.472361142
0.221934917,0.119922663
-1.486656156,-0.062947089
3.484040793,2.491268637
0.833445045,3.573380604
-0.237347391,-2.537508057
-1.334370309,-1.508862185
1.078320984,3.904156095
-1.488710664,-3.019281482
-0.256262441,-0.310406971
-0.745577099,-1.856618695
-0.789556451,-3.392732057
1.432593838,4.299302746
2.056040299,4.001439201
4.48548418,3.176072141
1.306018342,1.843491809
0.720062869,2.204094418
3.172339623,3.910577453
2.369578549,2.112774941
-0.068750214,-2.294922855
1.761249848,4.259478793
-0.310691761,-0.971038225
-1.270490654,-0.395665175
0.073861678,0.716763652
1.870304008,0.373993364
0.10854077,3.993953458
-4.118699924,-4.633897132
-0.322554837,-2.501963104
-2.041338049,-4.59597763
-0.3201207,-4.796447153
-0.698763849,-1.045281742
-1.561426156,-4.083812334
-0.221073805,-3.021310723
-4.102942565,-4.411613244
-3.678175885,-0.438057915
1.829559204,4.573314803
2.452552989,4.660918292
0.512196007,2.878531117
1.294467237,1.448384983
-2.220293953,-1.810265012
-3.399055299,-0.127929122
1.971910551,2.094063372
-0.333053364,-0.775257627
-3.408165422,-2.503978464
-0.129990416,-0.626739781
1.194991458,0.952409929
0.361468036,4.821719432
1.270778077,2.837539167
-0.515765009,-2.880531596
-0.958572202,-0.150499392
1.968086063,1.74435673
0.999019699,1.897163175
2.170676338,2.77550837
-1.682386004,-0.524860401
-1.213348889,-3.337022975
2.025655441,4.280470371
1.613052845,0.913175057
-1.647645123,-3.291939444
-3.137036802,-3.661142539
-1.725212445,-4.173678877
4.378295397,4.105724656
3.532752163,2.865474505
-1.059558786,-1.034882806
1.032533201,3.694557054
0.309236946,1.815293094
0.065607897,0.031309881
1.38056474,0.190740908
-1.858345858,-2.439077585
2.533759794,2.502831989
0.301058931,3.565735339
1.285448707,0.134479268
-0.126839731,-4.866775046
0.195180802,4.638433997
1.044439308,3.16846214
0.578179306,3.845063056
1.693266549,2.92002963
-0.573592933,-0.398578224
-2.124174823,-2.396004658
-0.085914659,-0.509272917
2.880895007,1.675869339
-0.936925636,-0.427635282
-0.073803758,-4.889376592
0.917156992,1.219856083
0.611730159,1.966270261
