u,v
3.059798491,1.148490452
-0.72698848,-0.520183054
-0.216829687,-0.088633669
0.531561815,0.140901202
-1.411975237,-0.251761306
-0.148246405,-0.057741237
-4.145506233,-1.43327069
-0.441037891,-0.286168969
-2.239749202,-1.478345624
3.998966309,3.059613954
-0.451830166,-0.184254646
-1.776697991,-1.543497906
1.318577641,0.689392504
-0.102199409,-0.071502476
6.629157673,3.592241738
0.618352658,0.408451366
-2.252001886,-1.046556218
-3.579520892,-1.974052683
1.069414343,0.090380044
6.386025884,1.951774468
-6.467094641,-3.312807025
-4.327526107,-2.428822169
-6.08878298,-4.869850036
4.955304053,2.794560654
1.652668609,0.488824307
-4.622726562,-2.031843978
-4.183006694,-3.642032296
2.740005173,1.264872803
0.252664875,0.094609345
4.30698202,0.647981929
-3.385181025,-0.865057035
-0.743397655,-0.595141441
-0.714460395,-0.326426119
-5.300279943,-3.256318604
0.2412785,0.049102
-0.252986143,-0.044519333
3.091193487,1.494162706
-1.76427168,-0.696532372
2.253676763,1.557099908
-3.458716792,-1.933547347
3.684612185,0.753501993
-2.310342256,-0.515730576
1.417464457,1.053040076
1.154875384,0.623668721
7.666179939,3.76041316
-3.044803707,-1.891693085
0.984172545,0.266532545
0.155216118,0.064527611
1.823462487,0.770293388
1.675499128,1.004981436
-4.267976475,-3.414610948
-1.627400651,-0.892845977
4.306524194,0.145514283
2.216092285,1.257445152
-2.924601157,-1.772080403
4.869995218,0.111527075
4.04415233,1.87842571
0.771608968,0.629491594
-3.55904027,-0.31055326
3.458784944,1.38089472
4.277647139,0.906784943
2.125803233,0.578441245
0.055345779,0.017002771
-2.392197174,-1.09177116
0.991630581,0.567576801
2.418160547,1.370590028
-2.967208683,-0.715756875
-2.612373997,-2.016625428
1.761716679,0.286543016
3.299950547,0.850077781
-1.408012634,-1.046869333
0.954161971,0.554735582
-3.344606483,-2.57518988
-2.487703838,-1.473369216
-3.164212928,-1.895970098
-0.151504417,-0.128057749
1.705215466,0.926105463
-1.846607476,-0.631339618
0.056907237,0.017916687
-0.506906197,-0.349164339
-3.909879702,-2.297325131
4.571726595,0.497210364
0.991613083,0.649219689
-2.244140765,-0.73302778
-1.973371603,-0.989586394
1.354550433,0.342321678
-0.534325003,-0.392034238
0.8184599,0.218524899
-1.077282418,-1.002607298
-5.009920969,-0.484613427
-2.071973095,-1.157155203
3.456758234,0.727946722
-2.663718112,-1.82030716
3.032344866,1.058928003
-2.643379271,-2.114618013
1.718298485,0.372331807
-2.272859818,-0.952124095
7.495120291,1.660034546
-0.237201575,-0.046780454
1.100437356,0.723652428
-4.230695234,-2.960376872
0.712536809,0.20403193
2.995003892,2.016975085
-6.050556175,-3.925828045
4.154353384,2.296406407
5.7377914,1.28673914
1.292674735,0.670551382
-0.016682384,-0.002816626
-0.616770227,-0.472013085
5.004835163,3.364468711
3.654424844,1.925814018
1.811191166,0.405212911
4.139238677,2.390661641
0.030073651,0.011277903
-1.895966402,-0.519238492
-4.13273605,-2.445030059
1.903381035,1.041152714
1.105430385,0.594734532
-1.416253723,-0.644890954
2.581686503,1.392001234
-4.822924715,-1.8464522
3.828108073,1.61568129
-3.125363219,-1.520045649
-5.502186553,-4.963704076
0.222263452,0.099184923
2.313857901,0.756730529
0.809572907,0.577008264
-3.648974858,-1.697182097
0.74516394,0.405299209
-4.035440548,-1.299445703
1.496176901,0.505878335
-0.69100425,-0.597728599
0.525285836,0.141836719
-0.264518162,-0.127547872
-5.394785361,-3.370036727
4.672972279,3.451222092
1.213332393,0.171708706
2.416429025,0.922623066
0.612399761,0.424532468
5.313680341,4.712455367
-1.282745071,-0.912119292
-3.87008134,-1.226620534
