u,v
0.013410213,0.04102498
0.076972667,0.25270087
0.034852729,0.128192715
0.089714627,0.238295957
0.058926751,0.249014372
0.034262151,0.117579613
0.082729685,0.250869364
0.061137557,0.129580096
0.179645377,0.461013872
0.080310332,0.214236439
0.094747079,0.386760116
0.058290032,0.267346274
0.044707212,0.199784803
-0.068350674,-0.290059618
0.042597163,0.186481397
0.05537935,0.190948753
-0.052862481,-0.153915803
0.050302364,0.177143568
0.078073314,0.400412689
-0.101590648,-0.300943433
-0.006484975,-0.015745541
-0.048497043,-0.157548208
-0.071846421,-0.192008093
0.052208768,0.228532961
-0.053714617,-0.146071168
0.05080578,0.122781427
0.071735772,0.162594587
-0.048626591,-0.181116554
-0.006641104,-0.030027742
0.040423584,0.145207813
0.040490737,0.140658733
0.05549729,0.178617644
-0.062258824,-0.205530713
-0.072126214,-0.326417737
0.129957192,0.453823495
-0.035137073,-0.098463728
-0.037687678,-0.203415067
-0.024795665,-0.101353563
-8.58E-04,-0.002522177
0.068395274,0.276133532
0.037612833,0.126314619
0.05804243,0.187353692
0.039004158,0.162157048
0.068487216,0.228348262
-0.058939529,-0.264557763
0.067513709,0.291710513
-0.059767308,-0.149339965
-0.074699491,-0.213008181
0.038895628,0.118221999
-0.014671973,-0.050854449
-0.063627754,-0.267847227
0.082862474,0.190566097
0.073659182,0.291534678
0.023094582,0.08086842
-0.04124249,-0.182376371
0.006248535,0.022757432
0.227989845,0.687116034
0.089569796,0.258031039
0.045053515,0.137612293
-0.05856911,-0.249440233
0.037820267,0.134101599
0.014175471,0.050126376
-0.051901964,-0.238163285
0.040400426,0.099270142
-0.036211909,-0.120386794
-0.042349347,-0.125353406
0.057984869,0.139579552
-0.074492059,-0.301261438
-0.005289519,-0.017304643
-0.064843188,-0.269783731
-0.058301041,-0.282321984
0.065463115,0.179480198
-0.059309431,-0.216575939
-0.040492278,-0.189753642
-0.066152899,-0.19657882
-0.060501833,-0.164068856
-0.032051882,-0.11135053
-0.004773439,-0.026158271
0.161299496,0.866914349
-0.114623867,-0.377318645
0.033137688,0.161184251
-0.038124916,-0.137800655
0.049520711,0.198328316
0.072746156,0.171945269
-0.047250287,-0.115642884
-0.088827712,-0.310990846
0.02441091,0.068790589
0.04129414,0.18861372
-0.032928578,-0.100414514
-0.051175605,-0.198399515
0.115089235,0.323495687
-0.072598792,-0.257965935
-0.050223311,-0.147496649
-0.042836176,-0.171211736
-0.030346422,-0.111375339
0.045935847,0.274484204
0.059947571,0.173788082
-0.045597991,-0.168725077
0.108920845,0.296787994
-0.024492,-0.088636675
0.033766597,0.178123323
0.028072013,0.079884939
-0.03069534,-0.089831955
-0.075619102,-0.264397314
0.05162502,0.16601976
-0.065973052,-0.303704187
0.099904224,0.297517514
0.068546396,0.180310067
-0.007827343,-0.032544506
-0.05149458,-0.116733546
-0.024625687,-0.10560877
0.063389443,0.181816737
-0.076097529,-0.24186183
-0.070034616,-0.273635024
-0.031446206,-0.095625306
-0.066733992,-0.191169737
-0.049830942,-0.198997249
-0.016109073,-0.05094186
0.016225693,0.044250254
-0.046049312,-0.16749156
0.050803228,0.20463702
0.0712315,0.153312632
0.020158699,0.059738232
-0.003225288,-0.020132781
-0.031437372,-0.179268073
0.028501635,0.090061684
-0.002155331,-0.007185587
0.003175358,0.016725864
-0.075865591,-0.210838584
0.026632519,0.121030693
-0.105069897,-0.374169331
-0.04864218,-0.154484235
0.017970639,0.04783861
0.068805463,0.218279153
0.066055478,0.233556383
-0.089523884,-0.200203855
0.031934396,0.089837678
-0.02031465,-0.05598859
-0.077047102,-0.210529305
-0.027786344,-0.075968163
0.06919127,0.147672726
-0.051322387,-0.305881426
0.058524842,0.184963145
-0.004983641,-0.012682087
-0.029692653,-0.126782793
0.060942433,0.237615957
0.129933372,0.344655374
0.065659299,0.220264721
0.061512634,0.260268749
0.073079091,0.275026228
-0.035925809,-0.137748465
-0.045280499,-0.116715583
-0.074523451,-0.26837225
-0.117160759,-0.439715967
-0.047851561,-0.17909076
-0.040035925,-0.132899621
-0.02146189,-0.090677826
-0.025690232,-0.073772371
-0.004198336,-0.015884253
0.032221843,0.124942178
-0.004876301,-0.014489442
0.163995089,0.452868732
-0.066463282,-0.324588282
0.052422517,0.173776431
0.014784537,0.032141056
0.104282924,0.350913515
-0.019639251,-0.05465169
-0.067445462,-0.232114362
-0.040541659,-0.131154314
-0.031682651,-0.130964178
-0.031971269,-0.147005994
-0.04590041,-0.183851413
-0.064570106,-0.178987866
0.046562268,0.138167508
0.028764793,0.092817431
-0.10675869,-0.299241259
-0.064994204,-0.242427293
-0.106861969,-0.223596266
-0.067813427,-0.347786802
0.236489664,0.744466455
-0.049418196,-0.213753848
0.05103702,0.16855755
-6.22E-04,-0.00298209
0.066178285,0.201389372
0.05551447,0.238236195
0.075126536,0.305870287
0.157997047,0.414829897
0.087451174,0.33601744
-0.049763583,-0.305420801
-0.056136563,-0.189048938
0.026552986,0.096774421
-0.017115464,-0.072079494
-0.024452532,-0.08473902
-0.030163004,-0.109921664
-0.102312997,-0.394704571
-0.018384904,-0.06411763
0.184272468,0.636990838
0.043328763,0.156649129
0.056506961,0.158343911
0.08396146,0.246619885
-0.065354103,-0.21303287
-0.064651293,-0.217217624
0.024152521,0.07090871
0.037114006,0.134067151
0.079358538,0.282569184
-0.050034493,-0.163207566
-0.104523088,-0.375386402
0.068215496,0.268332906
0.054030275,0.183070598
0.033319602,0.099330351
-0.069731125,-0.336121187
-0.044061955,-0.127260607
-0.015063611,-0.053143871
-0.046827921,-0.221455891
-0.012419785,-0.052986188
0.240335222,0.728802973
0.037939193,0.143495416
0.084580148,0.410343715
0.061560371,0.20431567
0.049206309,0.146368812
-0.002856709,-0.007317842
-0.017714151,-0.095505172
-0.05892836,-0.298774143
0.048176553,0.267308596
-0.050837703,-0.195092168
-0.019277841,-0.058149634
0.045177267,0.146101537
-0.054156868,-0.264300182
-0.004168229,-0.016628387
0.02285352,0.105477768
-0.072156113,-0.217564696
0.046477584,0.160734848
-0.069460456,-0.295764675
0.042857513,0.20441594
-0.082874765,-0.210818658
