u,v,color
0.60790987,0.881649104,0
-0.199342687,-0.289105853,0
0.007876833,0.011423738,0
0.034585636,0.050159401,0
-0.026506283,-0.03844195,0
0.185772987,0.269425775,0
-0.03182043,-0.046149034,0
0.091744441,0.133056573,0
0.090647738,0.13146603,0
-0.109632946,-0.159000197,0
-0.079155279,-0.3419949,15
0.037575996,0.162349234,15
-0.042338741,-0.182926947,15
-0.091043865,-0.393360217,15
0.088740715,0.383409325,15
0.049445238,0.213630973,15
-0.032321334,-0.139646167,15
-0.074383823,-0.321379555,15
-0.124981186,-0.539988349,15
0.057385769,0.247938492,15
