[run number],payoff-include-votes-cost?,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list
7,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.999
4,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.85,FALSE,1000,1
8,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.65,FALSE,1000,1
3,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.9,FALSE,1000,1
6,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.999
1,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-1,FALSE,1000,0.998
5,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.8,FALSE,1000,1
2,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.95,FALSE,1000,1
10,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.55,FALSE,1000,1
9,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.6,FALSE,1000,1
13,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.4,FALSE,1000,0.999
11,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.5,FALSE,1000,0.999
12,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.45,FALSE,1000,1
14,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.35,FALSE,1000,1
15,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.3,FALSE,1000,1
16,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.25,FALSE,1000,0.999
19,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.1,FALSE,1000,0.999
18,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.15,FALSE,1000,1
20,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.05,FALSE,1000,1
17,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,-0.2,FALSE,1000,1
23,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.1,FALSE,1000,1
22,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.05,FALSE,1000,0.998
21,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0,FALSE,1000,0.999
24,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.15,FALSE,1000,1
25,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.2,FALSE,1000,0.999
28,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.35,FALSE,1000,0.998
27,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.3,FALSE,1000,0.999
26,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.25,FALSE,1000,0.999
30,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.45,FALSE,1000,0.999
29,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.4,FALSE,1000,0.996
31,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.5,FALSE,1000,0.997
32,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.55,FALSE,1000,0.998
33,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.6,FALSE,1000,0.995
36,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.75,FALSE,1000,0.993
35,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.7,FALSE,1000,0.997
34,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.65,FALSE,1000,0.998
37,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.8,FALSE,1000,0.993
38,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.85,FALSE,1000,0.996
39,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.9,FALSE,1000,0.991
40,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,0.95,FALSE,1000,0.995
42,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.811
41,FALSE,rational,1. prop8-mean>0,0.01,1001,QV,0.5,1,FALSE,1000,0.995
43,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.82
44,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.837
45,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.853
46,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.871
47,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.88
