[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,
5,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.77,0.7813
7,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.81,0.7813
8,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.79,0.7813
4,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.75,0.7813
3,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.81,0.7813
2,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.7,0.7813
6,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.77,0.7813
1,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.78,0.7813
9,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.81,0.7813
10,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.79,0.7813
12,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.83,0.7813
11,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.82,0.7813
14,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.7,0.7813
15,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.81,0.7813
13,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.79,0.7813
16,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.73,0.7813
18,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.76,0.7813
19,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.79,0.7813
17,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.7,0.7813
20,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.8,0.7813
22,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.72,0.7813
21,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.82,0.7813
23,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.71,0.7813
24,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.75,0.7813
25,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.77,0.7813
26,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.75,0.7813
27,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.79,0.7813
29,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.83,0.7813
30,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.84,0.7813
28,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.76,0.7813
31,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.83,0.7813
32,FALSE,-4,1,6,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.86,0.7813
