[run number],number-of-voters,majority-utility-stdev,majority-mean-utility,payoff-include-votes-cost?,behavior-under-qv,calibration,poll-response-rate,variance-of-pmp,r,voting-mechanism,limit-votes?,minority-fraction,[step],mean payoff-sign-list
2,1001,1,0,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,0.957
4,1001,1,0,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,0.96
7,1001,1,0,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,0.955
8,1001,1,0,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,0.957
3,1001,1,0,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,0.937
5,1001,1,0,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,0.949
6,1001,1,0,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,0.959
1,1001,1,0,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,0.927
9,1001,1,0,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,0.964
10,1001,1,0,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,0.957
11,1001,1,0,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,0.971
12,1001,1,0,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,0.962
13,1001,1,0,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,0.971
15,1001,1,0,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,0.972
14,1001,1,0,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,0.971
16,1001,1,0,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,0.975
17,1001,1,0,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,0.967
18,1001,1,0,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,0.982
20,1001,1,0,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,0.973
19,1001,1,0,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,0.963
21,1001,1,0,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,0.957
23,1001,1,1,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,1
22,1001,1,1,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,1
24,1001,1,1,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,1
25,1001,1,1,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,1
26,1001,1,1,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,1
27,1001,1,1,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,1
28,1001,1,1,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,1
29,1001,1,1,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,1
30,1001,1,1,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,1
31,1001,1,1,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,1
32,1001,1,1,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,1
33,1001,1,1,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,1
34,1001,1,1,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,1
35,1001,1,1,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,1
36,1001,1,1,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,1
37,1001,1,1,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,1
38,1001,1,1,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,1
39,1001,1,1,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,1
40,1001,1,1,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,1
41,1001,1,1,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,1
42,1001,1,1,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,1
43,1001,1,4,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,1
44,1001,1,4,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,1
45,1001,1,4,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,1
46,1001,1,4,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,1
47,1001,1,4,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,1
48,1001,1,4,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,1
