[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,average payoff
1,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
64,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.954,0.93775
127,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93775
190,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.922,0.93775
253,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93775
316,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93775
379,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.953,0.93775
442,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.931,0.93775
505,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.944,0.93775
568,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.946,0.93775
631,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.928,0.93775
694,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.951,0.93775
757,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.938,0.93775
820,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.942,0.93775
883,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
946,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
1009,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.94,0.93775
1072,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.922,0.93775
1135,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.933,0.93775
1198,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.932,0.93775
1261,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.95,0.93775
1324,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93775
1387,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93775
1450,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.941,0.93775
1513,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.933,0.93775
1576,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.943,0.93775
1639,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.947,0.93775
1702,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.937,0.93775
1765,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.945,0.93775
1828,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.939,0.93775
1891,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.954,0.93775
1954,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.928,0.93775
2017,FALSE,0,1,0,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.936,0.93775
