[run number],number-of-voters,majority-utility-stdev,majority-mean-utility,payoff-include-votes-cost?,behavior-under-qv,calibration,poll-response-rate,variance-of-pmp,r,voting-mechanism,limit-votes?,minority-fraction,[step],mean payoff-sign-list
6,1001,1,0,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,0.75
3,1001,1,0,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,0.75
2,1001,1,0,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,0.76
7,1001,1,0,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,0.78
8,1001,1,0,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,0.83
4,1001,1,0,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,0.8
5,1001,1,0,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,0.84
1,1001,1,0,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,0.78
9,1001,1,0,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,0.86
10,1001,1,0,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,0.8
11,1001,1,0,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,0.74
12,1001,1,0,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,0.81
15,1001,1,0,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,0.76
13,1001,1,0,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,0.82
14,1001,1,0,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,0.89
16,1001,1,0,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,0.78
17,1001,1,0,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,0.81
19,1001,1,0,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,0.83
20,1001,1,0,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,0.77
18,1001,1,0,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,0.79
21,1001,1,0,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,0.78
22,1001,1,1,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,1
23,1001,1,1,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,1
24,1001,1,1,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,1
25,1001,1,1,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,1
26,1001,1,1,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,1
27,1001,1,1,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,1
29,1001,1,1,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,1
30,1001,1,1,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,1
31,1001,1,1,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,1
28,1001,1,1,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,1
32,1001,1,1,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,1
33,1001,1,1,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,1
35,1001,1,1,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,1
34,1001,1,1,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,1
36,1001,1,1,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,1
37,1001,1,1,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,1
38,1001,1,1,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,1
39,1001,1,1,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,1
40,1001,1,1,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,1
41,1001,1,1,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,1
42,1001,1,1,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,1
43,1001,1,4,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,1
45,1001,1,4,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,1
44,1001,1,4,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,1
46,1001,1,4,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,1
47,1001,1,4,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,1
48,1001,1,4,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,1
49,1001,1,4,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,1
50,1001,1,4,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,1
51,1001,1,4,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,1
52,1001,1,4,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,1
53,1001,1,4,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,1
54,1001,1,4,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,1
55,1001,1,4,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,1
