[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,average payoff,min,max
2,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.141,0.13019,0.01919,0.02781
6,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.144,0.13019,0.01919,0.02781
3,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.133,0.13019,0.01919,0.02781
4,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.144,0.13019,0.01919,0.02781
5,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.145,0.13019,0.01919,0.02781
8,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.129,0.13019,0.01919,0.02781
7,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.141,0.13019,0.01919,0.02781
1,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.132,0.13019,0.01919,0.02781
9,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.118,0.13019,0.01919,0.02781
10,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.124,0.13019,0.01919,0.02781
11,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.136,0.13019,0.01919,0.02781
15,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.134,0.13019,0.01919,0.02781
14,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.134,0.13019,0.01919,0.02781
13,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.151,0.13019,0.01919,0.02781
12,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.138,0.13019,0.01919,0.02781
16,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.132,0.13019,0.01919,0.02781
17,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.127,0.13019,0.01919,0.02781
18,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.117,0.13019,0.01919,0.02781
19,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.132,0.13019,0.01919,0.02781
20,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.141,0.13019,0.01919,0.02781
21,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.129,0.13019,0.01919,0.02781
23,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.136,0.13019,0.01919,0.02781
22,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.133,0.13019,0.01919,0.02781
24,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.129,0.13019,0.01919,0.02781
25,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.132,0.13019,0.01919,0.02781
26,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.127,0.13019,0.01919,0.02781
27,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.125,0.13019,0.01919,0.02781
28,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.119,0.13019,0.01919,0.02781
30,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.124,0.13019,0.01919,0.02781
29,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.134,0.13019,0.01919,0.02781
31,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.134,0.13019,0.01919,0.02781
32,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.141,0.13019,0.01919,0.02781
33,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.124,0.13019,0.01919,0.02781
34,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.13,0.13019,0.01919,0.02781
35,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.118,0.13019,0.01919,0.02781
36,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.13,0.13019,0.01919,0.02781
37,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.118,0.13019,0.01919,0.02781
38,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.128,0.13019,0.01919,0.02781
39,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.121,0.13019,0.01919,0.02781
40,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.125,0.13019,0.01919,0.02781
41,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.128,0.13019,0.01919,0.02781
42,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.12,0.13019,0.01919,0.02781
43,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.126,0.13019,0.01919,0.02781
44,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.129,0.13019,0.01919,0.02781
46,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.136,0.13019,0.01919,0.02781
45,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.121,0.13019,0.01919,0.02781
47,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.142,0.13019,0.01919,0.02781
48,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.118,0.13019,0.01919,0.02781
49,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.116,0.13019,0.01919,0.02781
50,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.122,0.13019,0.01919,0.02781
51,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.118,0.13019,0.01919,0.02781
52,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.142,0.13019,0.01919,0.02781
53,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.125,0.13019,0.01919,0.02781
54,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.119,0.13019,0.01919,0.02781
55,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.131,0.13019,0.01919,0.02781
57,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.118,0.13019,0.01919,0.02781
58,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.112,0.13019,0.01919,0.02781
56,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.138,0.13019,0.01919,0.02781
59,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.137,0.13019,0.01919,0.02781
60,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.132,0.13019,0.01919,0.02781
61,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.118,0.13019,0.01919,0.02781
62,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.145,0.13019,0.01919,0.02781
63,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.114,0.13019,0.01919,0.02781
64,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.143,0.13019,0.01919,0.02781
65,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.125,0.13019,0.01919,0.02781
67,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.12,0.13019,0.01919,0.02781
66,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.124,0.13019,0.01919,0.02781
68,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.13,0.13019,0.01919,0.02781
69,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.125,0.13019,0.01919,0.02781
70,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.128,0.13019,0.01919,0.02781
71,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.148,0.13019,0.01919,0.02781
72,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.137,0.13019,0.01919,0.02781
73,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.131,0.13019,0.01919,0.02781
74,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.146,0.13019,0.01919,0.02781
75,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.145,0.13019,0.01919,0.02781
76,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.129,0.13019,0.01919,0.02781
77,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.111,0.13019,0.01919,0.02781
78,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.124,0.13019,0.01919,0.02781
79,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.13,0.13019,0.01919,0.02781
80,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.121,0.13019,0.01919,0.02781
81,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.131,0.13019,0.01919,0.02781
82,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.127,0.13019,0.01919,0.02781
84,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.158,0.13019,0.01919,0.02781
85,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.131,0.13019,0.01919,0.02781
86,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.133,0.13019,0.01919,0.02781
