[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,average payoff,yerrormin,yerrormax
4,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.129,0.1328,0.101,0.153
5,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.13,0.1328,0.101,0.153
8,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.136,0.1328,0.101,0.153
3,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.135,0.1328,0.101,0.153
7,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.142,0.1328,0.101,0.153
2,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.124,0.1328,0.101,0.153
6,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.139,0.1328,0.101,0.153
1,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.123,0.1328,0.101,0.153
10,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.127,0.1328,0.101,0.153
9,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-1,FALSE,1000,0.143,0.1328,0.101,0.153
12,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.14,0.1276,0.101,0.153
13,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.108,0.1276,0.101,0.153
11,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.11,0.1276,0.101,0.153
14,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.148,0.1276,0.101,0.153
15,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.137,0.1276,0.101,0.153
16,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.136,0.1276,0.101,0.153
17,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.141,0.1276,0.101,0.153
18,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.126,0.1276,0.101,0.153
19,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.116,0.1276,0.101,0.153
20,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.135,0.1306,0.101,0.153
21,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.114,0.1276,0.101,0.153
22,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.136,0.1306,0.101,0.153
23,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.142,0.1306,0.101,0.153
24,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.121,0.1306,0.101,0.153
25,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.14,0.1306,0.101,0.153
26,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.114,0.1306,0.101,0.153
27,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.112,0.1306,0.101,0.153
29,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.141,0.1306,0.101,0.153
28,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.122,0.1306,0.101,0.153
30,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.143,0.1306,0.101,0.153
31,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.148,0.1307,0.101,0.153
32,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.119,0.1307,0.101,0.153
33,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.121,0.1307,0.101,0.153
34,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.116,0.1307,0.101,0.153
35,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.129,0.1307,0.101,0.153
37,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.128,0.1307,0.101,0.153
36,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.148,0.1307,0.101,0.153
38,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.128,0.1307,0.101,0.153
39,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.117,0.1307,0.101,0.153
40,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.85,FALSE,1000,0.153,0.1307,0.101,0.153
42,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.123,0.1249,0.101,0.153
43,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.131,0.1249,0.101,0.153
41,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.133,0.1249,0.101,0.153
44,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.13,0.1249,0.101,0.153
45,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.105,0.1249,0.101,0.153
46,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.119,0.1249,0.101,0.153
47,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.138,0.1249,0.101,0.153
49,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.101,0.1249,0.101,0.153
50,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.126,0.1249,0.101,0.153
48,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.8,FALSE,1000,0.144,0.1332,0.101,0.153
51,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.143,0.1249,0.101,0.153
52,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.126,0.1332,0.101,0.153
53,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.116,0.1332,0.101,0.153
54,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.134,0.1332,0.101,0.153
55,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.135,0.1332,0.101,0.153
57,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.142,0.1332,0.101,0.153
56,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.136,0.1332,0.101,0.153
58,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.131,0.1332,0.101,0.153
59,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.143,0.1332,0.101,0.153
60,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.75,FALSE,1000,0.125,0.1332,0.101,0.153
62,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.119,0.1323,0.101,0.153
63,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.123,0.1323,0.101,0.153
61,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.125,0.1323,0.101,0.153
66,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.147,0.1323,0.101,0.153
64,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.145,0.1323,0.101,0.153
65,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.149,0.1323,0.101,0.153
67,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.15,0.1323,0.101,0.153
68,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.144,0.1323,0.101,0.153
69,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.112,0.1323,0.101,0.153
70,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.7,FALSE,1000,0.109,0.1323,0.101,0.153
71,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.143,0.1307,0.101,0.153
72,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.121,0.1307,0.101,0.153
73,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.151,0.1307,0.101,0.153
74,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.12,0.1307,0.101,0.153
75,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.12,0.1307,0.101,0.153
76,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.129,0.1307,0.101,0.153
77,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.125,0.1307,0.101,0.153
78,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.127,0.1307,0.101,0.153
79,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.142,0.1307,0.101,0.153
80,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.65,FALSE,1000,0.129,0.1307,0.101,0.153
81,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.6,FALSE,1000,0.139,0.1282,0.101,0.153
