[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,tipping-point,mean-utility
,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,-0.05,0.02
,,,,,,,,,,,,,,,,,-0.05,0.04
,,,,,,,,,,,,,,,,,-0.06,0.06
,,,,,,,,,,,,,,,,,-0.08,0.08
,,,,,,,,,,,,,,,,,-0.09,0.1
1,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.35,FALSE,1000,0,-0.11,0.12
2,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.34,FALSE,1000,0,-0.11,0.12
3,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.33,FALSE,1000,0,-0.11,0.12
4,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.32,FALSE,1000,0,-0.11,0.12
5,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.31,FALSE,1000,0.002,-0.11,0.12
6,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0,-0.11,0.12
7,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0,-0.11,0.12
8,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0,-0.11,0.12
9,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0,-0.11,0.12
10,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0,-0.11,0.12
11,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.25,FALSE,1000,0,-0.11,0.12
12,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.24,FALSE,1000,0,-0.11,0.12
13,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.23,FALSE,1000,0,-0.11,0.12
14,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.22,FALSE,1000,0,-0.11,0.12
15,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.21,FALSE,1000,0.001,-0.11,0.12
16,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.2,FALSE,1000,0.003,-0.11,0.12
17,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.19,FALSE,1000,0.002,-0.11,0.12
18,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.18,FALSE,1000,0.006,-0.11,0.12
19,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.17,FALSE,1000,0.025,-0.11,0.12
20,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.16,FALSE,1000,0.044,-0.11,0.12
21,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.15,FALSE,1000,0.084,-0.11,0.12
22,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.14,FALSE,1000,0.143,-0.11,0.12
23,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.13,FALSE,1000,0.221,-0.11,0.12
24,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.12,FALSE,1000,0.34,-0.11,0.12
25,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.11,FALSE,1000,0.453,-0.11,0.12
26,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.1,FALSE,1000,0.582,-0.11,0.12
27,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.09,FALSE,1000,0.666,-0.11,0.12
28,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.08,FALSE,1000,0.751,-0.11,0.12
29,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.07,FALSE,1000,0.83,-0.11,0.12
30,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.06,FALSE,1000,0.898,-0.11,0.12
31,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.05,FALSE,1000,0.919,-0.11,0.12
32,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.04,FALSE,1000,0.947,-0.11,0.12
33,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.03,FALSE,1000,0.98,-0.11,0.12
34,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.02,FALSE,1000,0.98,-0.11,0.12
35,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.01,FALSE,1000,0.986,-0.11,0.12
36,FALSE,-4,1,6.3,1,0.4,rational,manual,0.01,1001,QV,0.5,0,FALSE,1000,0.996,-0.11,0.12
37,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.35,FALSE,1000,0,-0.14,0.16
38,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.34,FALSE,1000,0,-0.14,0.16
39,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.33,FALSE,1000,0,-0.14,0.16
40,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.32,FALSE,1000,0,-0.14,0.16
41,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.31,FALSE,1000,0,-0.14,0.16
42,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0,-0.14,0.16
43,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0,-0.14,0.16
44,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0,-0.14,0.16
45,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0,-0.14,0.16
46,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0,-0.14,0.16
47,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.25,FALSE,1000,0,-0.14,0.16
48,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.24,FALSE,1000,0,-0.14,0.16
49,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.23,FALSE,1000,0,-0.14,0.16
50,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.22,FALSE,1000,0.003,-0.14,0.16
51,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.21,FALSE,1000,0.007,-0.14,0.16
52,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.2,FALSE,1000,0.011,-0.14,0.16
53,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.19,FALSE,1000,0.038,-0.14,0.16
54,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.18,FALSE,1000,0.066,-0.14,0.16
55,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.17,FALSE,1000,0.118,-0.14,0.16
56,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.16,FALSE,1000,0.203,-0.14,0.16
57,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.15,FALSE,1000,0.339,-0.14,0.16
58,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.14,FALSE,1000,0.448,-0.14,0.16
59,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.13,FALSE,1000,0.571,-0.14,0.16
60,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.12,FALSE,1000,0.67,-0.14,0.16
