[run number]	payoff-include-votes-cost?	majority-mean-utility	majority-utility-stdev	minority-mean-utility	minority-utility-stdev	minority-fraction	behavior-under-qv	calibration	variance-of-pmp	number-of-voters	voting-mechanism	marginal-pivotality	utility-pmp-correlation	limit-votes?	[step]	mean payoff-sign-list		mean
1	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-1	FALSE	1000	0		
2	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.99	FALSE	1000	0		
3	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.98	FALSE	1000	0		
4	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.97	FALSE	1000	0		
5	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.96	FALSE	1000	0		
6	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.95	FALSE	1000	0		
7	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.94	FALSE	1000	0		
8	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.93	FALSE	1000	0		
9	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.92	FALSE	1000	0		
10	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.91	FALSE	1000	0		
11	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.9	FALSE	1000	0		
12	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.89	FALSE	1000	0		
13	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.88	FALSE	1000	0		
14	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.87	FALSE	1000	0		
15	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.86	FALSE	1000	0		
16	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.85	FALSE	1000	0		
17	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.84	FALSE	1000	0		
18	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.83	FALSE	1000	0		
19	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.82	FALSE	1000	0		
20	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.81	FALSE	1000	0		
21	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.8	FALSE	1000	0		
22	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.79	FALSE	1000	0		
23	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.78	FALSE	1000	0		
24	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.77	FALSE	1000	0		
25	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.76	FALSE	1000	0		
26	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.75	FALSE	1000	0		
27	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.74	FALSE	1000	0		
28	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.73	FALSE	1000	0		
29	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.72	FALSE	1000	0		
30	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.71	FALSE	1000	0		
31	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.7	FALSE	1000	0		
32	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.69	FALSE	1000	0		
33	FALSE	-4	1	7.25	1	0.4	rational	manual	0.01	1001	QV	0.5	-0.68	FALSE	1000	0		
