[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,tipping-point,mean-utility
1,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0.313,-0.05,0.02
2,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0.3,-0.05,0.02
3,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0.3,-0.05,0.02
4,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0.306,-0.05,0.02
5,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0.294,-0.05,0.02
6,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.25,FALSE,1000,0.312,-0.05,0.02
7,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.24,FALSE,1000,0.313,-0.05,0.02
8,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.23,FALSE,1000,0.296,-0.05,0.02
9,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.22,FALSE,1000,0.289,-0.05,0.02
10,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.21,FALSE,1000,0.331,-0.05,0.02
11,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.2,FALSE,1000,0.286,-0.05,0.02
12,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.19,FALSE,1000,0.321,-0.05,0.02
13,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.18,FALSE,1000,0.316,-0.05,0.02
14,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.17,FALSE,1000,0.3,-0.05,0.02
15,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.16,FALSE,1000,0.31,-0.05,0.02
16,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.15,FALSE,1000,0.34,-0.05,0.02
17,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.14,FALSE,1000,0.329,-0.05,0.02
18,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.13,FALSE,1000,0.293,-0.05,0.02
19,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.12,FALSE,1000,0.291,-0.05,0.02
20,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.11,FALSE,1000,0.31,-0.05,0.02
21,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.1,FALSE,1000,0.343,-0.05,0.02
22,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.09,FALSE,1000,0.359,-0.05,0.02
23,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.08,FALSE,1000,0.377,-0.05,0.02
24,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.07,FALSE,1000,0.385,-0.05,0.02
25,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.06,FALSE,1000,0.487,-0.05,0.02
26,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.05,FALSE,1000,0.503,-0.05,0.02
27,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.04,FALSE,1000,0.585,-0.05,0.02
28,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.03,FALSE,1000,0.663,-0.05,0.02
29,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.02,FALSE,1000,0.678,-0.05,0.02
30,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.01,FALSE,1000,0.735,-0.05,0.02
31,FALSE,-4,1,6.05,1,0.4,rational,manual,0.01,1001,QV,0.5,0,FALSE,1000,0.755,-0.05,0.02
32,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0.118,-0.05,0.04
33,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0.133,-0.05,0.04
34,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0.123,-0.05,0.04
35,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0.129,-0.05,0.04
36,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0.12,-0.05,0.04
37,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.25,FALSE,1000,0.126,-0.05,0.04
38,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.24,FALSE,1000,0.143,-0.05,0.04
39,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.23,FALSE,1000,0.13,-0.05,0.04
