[run number],payoff-include-votes-cost?,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,average payoff
1,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.835,0.8235
2,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.804,0.8235
3,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.828,0.8235
4,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.833,0.8235
5,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.792,0.8235
6,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.831,0.8235
7,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.82,0.8235
8,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.833,0.8235
9,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.816,0.8235
10,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-1,FALSE,1000,0.843,0.8235
411,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.834,0.8276
412,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.84,0.8276
413,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.818,0.8276
414,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.827,0.8276
415,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.828,0.8276
416,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.821,0.8276
417,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.819,0.8276
418,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.832,0.8276
419,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.826,0.8276
420,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-1,FALSE,1000,0.831,0.8276
11,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.818,0.8303
12,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.836,0.8303
13,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.845,0.8303
14,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.838,0.8303
15,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.83,0.8303
16,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.82,0.8303
17,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.821,0.8303
18,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.838,0.8303
19,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.836,0.8303
20,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.95,FALSE,1000,0.821,0.8303
421,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.822,0.8307
422,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.833,0.8307
423,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.827,0.8307
424,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.824,0.8307
425,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.833,0.8307
426,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.82,0.8307
427,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.837,0.8307
428,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.824,0.8307
429,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.856,0.8307
430,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.95,FALSE,1000,0.831,0.8307
21,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.84,0.8453
22,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.867,0.8453
23,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.852,0.8453
24,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.811,0.8453
25,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.838,0.8453
26,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.846,0.8453
27,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.851,0.8453
28,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.855,0.8453
29,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.85,0.8453
30,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.9,FALSE,1000,0.843,0.8453
431,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.851,0.8492
432,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.833,0.8492
433,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.857,0.8492
434,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.854,0.8492
435,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.865,0.8492
436,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.821,0.8492
437,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.845,0.8492
438,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.845,0.8492
439,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.856,0.8492
440,FALSE,rational,2. prop8-mean=0,0.01,1001,QV,0.5,-0.9,FALSE,1000,0.865,0.8492
31,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.85,FALSE,1000,0.84,0.8532
32,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.85,FALSE,1000,0.847,0.8532
33,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.85,FALSE,1000,0.841,0.8532
34,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.85,FALSE,1000,0.857,0.8532
35,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.85,FALSE,1000,0.851,0.8532
36,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.85,FALSE,1000,0.859,0.8532
37,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.85,FALSE,1000,0.859,0.8532
38,FALSE,rational,2. prop8-mean=0,0.01,501,QV,0.5,-0.85,FALSE,1000,0.85,0.8532
