[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,average payoff
1,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.89,0.931
127,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.95,0.931
253,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.96,0.931
379,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.94,0.931
505,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.94,0.931
631,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.89,0.931
757,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.93,0.931
883,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.96,0.931
1009,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.9,0.931
1135,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.95,0.931
2,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.98,0.941
128,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.96,0.941
254,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.91,0.941
380,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.94,0.941
506,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.94,0.941
632,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.94,0.941
758,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.94,0.941
884,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.92,0.941
1010,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.95,0.941
1136,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.93,0.941
3,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.97,0.954
129,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.95,0.954
255,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.96,0.954
381,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.95,0.954
507,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.95,0.954
633,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.95,0.954
759,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.95,0.954
885,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.94,0.954
1011,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.98,0.954
1137,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.94,0.954
4,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.99,0.982
130,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,0.982
256,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.97,0.982
382,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.99,0.982
508,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.98,0.982
634,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.98,0.982
760,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.97,0.982
886,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.99,0.982
1012,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.96,0.982
1138,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.99,0.982
5,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.99,0.996
131,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,0.996
257,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.99,0.996
383,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.99,0.996
509,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,0.99,0.996
635,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,0.996
761,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,0.996
887,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,0.996
1013,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,0.996
1139,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,0.996
6,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
132,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
258,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
384,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
510,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
636,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
762,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
888,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
1014,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
1140,FALSE,0.1,1,rational,manual,0.01,1001,QV,0.5,-1,FALSE,100,1,1
7,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.92,0.936
133,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.93,0.936
259,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.94,0.936
385,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.95,0.936
511,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.93,0.936
637,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.95,0.936
763,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.95,0.936
889,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.9,0.936
1015,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.96,0.936
1141,FALSE,0,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.93,0.936
8,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.96,0.947
134,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.95,0.947
260,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.947
386,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.98,0.947
512,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.91,0.947
638,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.92,0.947
764,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.96,0.947
890,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.92,0.947
1016,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.98,0.947
1142,FALSE,0.02,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.92,0.947
9,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.91,0.959
135,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.959
261,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.98,0.959
387,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.959
513,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.959
639,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.92,0.959
765,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.959
891,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.96,0.959
1017,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.98,0.959
1143,FALSE,0.04,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.96,0.959
10,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.95,0.974
136,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.96,0.974
262,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.98,0.974
388,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.974
514,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.99,0.974
640,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.974
766,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.98,0.974
892,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.974
1018,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,1,0.974
1144,FALSE,0.06,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,0.97,0.974
11,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,1,0.999
137,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,1,0.999
263,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,1,0.999
389,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,1,0.999
515,FALSE,0.08,1,rational,manual,0.01,1001,QV,0.5,-0.9,FALSE,100,1,0.999
