[run number],vote-portion-strategic,utility-distribution,number-of-voters,perceived-utility-stdev,proportion-of-strategic-voters,minority-power,y-axis,x-axis,QV?,number-of-issues,issues-correlation,correlate-n-issues,[step],item 0 total-payoff-per-issue,first issue average payoff
8,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.061430052,0.156
4,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.003078487,0.156
7,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.154024858,0.156
5,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.303398512,0.156
1,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.305086778,0.156
3,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.327991873,0.156
2,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.334113923,0.156
6,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.762370837,0.156
9,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.61577743,0.156
11,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.518225506,0.156
15,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.493745856,0.156
13,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.574013667,0.156
14,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.015838174,0.156
10,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.104961493,0.156
12,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.033240457,0.156
16,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.147292383,0.156
18,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,0.317183209,0.156
17,1,Indifferent Majority vs. Passionate Minority,1001,0,0,0,1,0,TRUE,10,0,10,1,-0.110224103,0.156
