[run number],vote-portion-strategic,utility-distribution,number-of-voters,perceived-utility-stdev,proportion-of-strategic-voters,minority-power,y-axis,x-axis,QV?,number-of-issues,issues-correlation,correlate-n-issues,[step],item 0 total-payoff-per-issue,mean total-payoff-per-issue,first issue average payoff,average payoff
4,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,9.993725712,8.329221853,1,1
7,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.21816447,8.215106158,1,1
5,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.01642177,8.372568813,1,1
3,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.1480591,4.956568364,1,1
8,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.15401845,7.612188489,1,1
2,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.31183317,10.61669917,1,1
1,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.49101129,4.986664414,1,1
6,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.42292218,7.977561531,1,1
10,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.09638635,5.034958218,1,1
9,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.44010264,5.969759167,1,1
11,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.37109428,4.289313713,1,1
13,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.40471635,5.541453617,1,1
12,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.38627144,9.097897959,1,1
14,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.80203773,7.467941577,1,1
17,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.42594926,6.869545983,1,1
16,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.59447816,9.891903207,1,1
19,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.44990578,5.550058652,1,1
20,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.05844,8.504493181,1,1
18,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.00803185,9.442882299,1,1
15,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.11358204,7.652192707,1,1
21,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.67129092,7.936679318,1,1
22,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.23986735,5.765788521,1,1
25,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.2217907,6.117487406,1,1
23,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.01161986,6.998653258,1,1
24,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.40757089,6.559050042,1,1
27,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.11956469,5.89314976,1,1
28,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.1219538,6.135427442,1,1
26,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.4743437,8.548473814,1,1
32,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.55440709,7.413931119,1,1
30,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.64425588,6.563678948,1,1
31,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.60277744,6.855373353,1,1
33,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.24586154,6.946342015,1,1
34,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.45382432,6.349184255,1,1
29,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.2341002,8.685826151,1,1
37,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.48782949,8.993053516,1,1
35,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.25124352,8.119104785,1,1
36,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.40313807,8.18683836,1,1
39,1,Indifferent Majority vs. Passionate Minority,1001,0,0,10,1,0,TRUE,10,0,10,1,10.16371331,7.639546424,1,1
