[run number],vote-portion-strategic,number-of-voters,perceived-utility-stdev,proportion-of-strategic-voters,minority-power,y-axis,x-axis,QV?,voter-num,number-of-issues,issue-num,poll-response-rate,utility-distribution,[step],total-payoff-per-issue
6,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[9.052774085895285 1.3005981491567686 1.2762700756159642 2.298186357049113 7.537055769702683 9.998472656747692 1.9431303771391941 1.111605540650269 6.756804629763982 9.367542279563983]
3,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[11.58753820432797 1.5932072273229814 0.37917413100384845 1.3781775433313999 3.4013312112722542 11.536733518093682 2.496515250236155 -1.8469789014709213 2.1062997940291677 2.8627373957315054]
4,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[2.6765244178631242 1.375045522518795 0.4294723361417166 1.4535576384739333 14.296439760620787 5.076272131663675 2.2697514512111625 4.452187301447869 -0.20277431224611875 2.6984816705494867]
8,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[10.534952088954393 8.289143421613733 5.634999143670054 5.699422537560682 -0.23742262121550703 5.311078415896616 -1.237704994815566 6.0897102243544055 1.6354916767377707 9.534876994972942]
2,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[6.940998173922408 2.898190671785445 10.678963736565876 5.339611922027374 8.009329999365406 0.2669958975844648 5.947478222010423 -0.44345533645232127 2.780807129387987 2.589775962399979]
7,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[7.554383679803871 5.104663134519146 9.061310543416774 8.354698695739685 8.259098717395128 -0.19390640208705334 5.803039631683448 6.948191837562028 0.2310360482644435 1.2840627964200706]
5,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[-0.057860486575098846 9.486973968385312 9.993677148239644 2.6521600030921197 4.965537938579335 5.009939932869226 6.4167112210276365 8.193836311181686 4.160170334292137 9.759612864182495]
1,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[9.130713804576898 3.118283011033949 10.15573876638237 -1.666984301673803 7.814573709335306 13.547714730207868 5.009731077931137 7.374661692672101 2.8357956345311006 1.1967908626387134]
10,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[15.350868399873717 11.20723462247014 1.979037016786899 5.943875938112677 11.456784252266024 2.7116503002518986 5.382188646312574 3.1294873701548718 2.4376159476996055 8.480179680904806]
9,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[0.3976245138027155 4.431345065929628 4.304799943926201 3.4555229312555875 2.7235230848962413 7.1093474080478565 6.052805942347506 3.7750985201083997 3.9050786160175983 -1.7160441211753605]
14,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[3.511879158363987 1.8572418731143103 8.582760861107275 1.8333703628527753 3.934521255840448 8.628539155733556 9.358661930117325 7.059285072176937 0.20595462289369737 1.329036902659306]
13,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[3.151305788030748 12.65313608853096 10.489469187328718 1.4295429536624487 0.5894923237280948 2.782695842544539 1.132193608064636 5.075933084031287 -1.920129844409831 3.1960477406266286]
12,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[0.5458516249718086 8.425611474706313 -0.7406191140088982 6.039908067102808 -0.3314099825078456 -0.946797909153212 5.127097338629956 0.3533798990263668 1.9685360726004153 12.582685250977184]
15,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[11.237370223941074 4.801166130947422 6.665084624687061 8.32684345371122 1.3518376013754532 2.238194198368614 7.382299068593486 1.0681991130543684 8.776857925925293 2.1358237262542055]
11,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[2.467221970370601 4.484902635096883 4.046970903576703 5.91350600078925 1.6589869838614777 1.5630088313885124 4.3695171390001155 13.044333160696697 4.022973500988467 2.6240808910317113]
17,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[3.4078948503802287 1.3873076622133127 0.26891197185618565 15.007666267038596 7.077848529732842 4.594931159739464 -2.3179992041813806 1.7629142790241117 1.9281173018707567 10.10473249587439]
20,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[1.842553054275153 7.118761071587481 9.889030294567007 9.288394315280053 8.551437654845671 4.992125099601887 5.012862490288239 2.8750133301621585 3.887984974344682 9.714325513050344]
22,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[5.686698704239781 6.5975074561505505 2.2258406137549955 12.240115937935743 4.877680862976403 3.2082073493929415 12.476162332833352 2.3247210062850883 4.171336529259869 -1.7225822301130729]
18,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[-0.6951848566061342 -1.1331175442956192 8.789043719657503 5.557427714514761 7.486736980390731 6.412579674929968 1.7131958090707828 2.7930626703834642 7.467286185694717 3.4042681784157702]
19,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[2.0476843803774103 8.142123077967407 2.772427927385568 1.3512245879401776 7.009813891522737 8.945624815935778 2.246595161312742 3.9349242914966336 3.662108093846101 3.514948973173377]
23,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[5.193756529637787 4.172377160927981 2.8576904879340046 6.896752702278002 2.8644286058995188 2.7196113179073125 4.644744115409855 2.4136842982328806 0.7121084646264365 10.48839755423667]
21,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[11.063951988617491 -0.6527772835493957 2.5793093853962774 7.708397345511232 5.081200989625556 5.1466641968404065 6.2341698674163935 8.274317609046392 2.5410711562500263 2.3377127531646433]
24,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[-0.9285748140385273 14.734644520962469 1.174037223210217 3.17104079189135 12.804113646719376 7.927820374980525 1.789984245614266 2.5775354765466623 5.515861687494812 5.431837492046348]
25,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[0.6913546469057369 -0.8411567870313001 6.579455591468776 2.5664492312934946 2.5011103913071837 15.875049774718162 6.5139648575063465 11.311359788068351 1.8657449607370973 2.52665424918451]
16,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[2.6906304164689954 8.075858846962937 8.329576922501454 -1.7635611255475023 5.74037583938993 3.6504466086607685 0.7753959423310457 4.80276653908201 4.668990958572525 -0.2232726555162886]
26,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[0.11767707382409982 4.424471050115072 -0.32653536336112776 4.400311280771203 0.4995276004530853 0.273611257810874 6.00644316624501 11.11735759046223 8.980224545653229 1.3442422785276666]
29,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[11.723755867455116 0.6787785854696051 11.802805983667152 2.301672156056304 4.252089469533094 1.195656258310967 3.324005639609387 2.125659493280171 6.220633196952494 14.975691756788823]
28,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[1.085984377195385 2.2581435733097592 9.92036157295085 10.197616000061169 3.6496474061663995 5.794360030912619 1.9812188511236506 5.454047844552234 10.670765342131974 0.15301183112674216]
27,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[1.8012175514898976 6.802809696445713 4.7731463296231675 1.8003246561139563 6.191429728943602 14.347755033933165 7.340182175692628 6.277163168252724 11.250892630221434 2.730047627044475]
30,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[1.0218554208194877 3.651687657328411 2.3781650130573437 6.497975702073496 -0.706222276536452 2.188634130031403 5.142815457671792 2.100879138083932 6.113778474106377 8.529160531007497]
31,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[10.479839113171765 3.0236330639417575 11.200765572211944 0.2215605163781923 -0.5777236492981531 1.6797824685788818 10.691088778496534 0.2629630999584448 0.9402013688194732 6.19879954474486]
36,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[1.0054761499265297 0.0797588575733591 6.356670132564174 5.0774800418082275 9.271935341039116 8.08815568684568 5.514276954130033 4.024090136432741 2.3007891829349525 4.239581422104288]
35,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[9.354988207660032 7.3022201806543485 5.04759515727506 1.2516943252846815 1.6365284203021644 0.008833650988064878 8.956945048084993 5.649286103965691 4.508959399826861 0.3011260870543456]
32,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[2.4037913776567357 0.09297924879036745 4.698325412772878 2.9355089513968857 0.4129759899268209 -0.18328372486266395 4.479462028977517 7.665581839954656 -1.2378385886452108 3.629997358546748]
37,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[-0.4673745909305016 2.2676087500747055 2.9067698083046247 -0.427377807625798 8.831729882615535 3.2544987316150333 7.924578867448152 6.591104454621352 2.5906963356357 6.613060363830364]
34,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[5.055957711070034 4.579142319094695 4.40000998622857 1.5251205599542317 18.68056243652097 0.4764450005478512 5.870420954090034 3.0177508723131314 2.237792823989209 2.0310388439493674]
33,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[4.854940298426648 2.0598973112664067 3.8864113003836547 5.504228810593428 5.44356975949761 0.8971240674325291 3.5107453369312633 1.1978190917211455 11.973512165654375 10.990057779750277]
40,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[8.32683192539284 2.282545183360528 4.694079361618211 9.705618346089215 9.838392025247455 0.39763065830482175 8.379730055313619 7.993714537157359 2.810516224712824 6.475625161741513]
38,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[5.487466171140417 7.147577169590338 4.687405963497994 4.659671218992441 1.2452006060557852 1.809055564695349 0.2222895558571178 1.495898312912157 7.82655563837542 4.516691454017146]
39,1,1001,0,0,0,1,0,TRUE,337,10,0,1,Normal mean = 0,1,[9.162635059780424 7.470425717459217 3.609756346132709 8.8967091618254 0.06477700602535724 3.481953177178276 12.645052017130375 1.9809519710380015 6.1744429961984775 4.185127423906996]
